_time;exchange;trading_pair;strategy;type;order_id;size;price;trade_volume;fee;;Sum Trades;PnL;;PnL Net;Date
2018-07-02T13:36:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;1dd34bb0-d9e2-4e26-8ab6-fd376b19362f;4,39;5706,830000;25079,010000;0,000000;-4,394600;0,000000;5972,260000;-2165,160000;3807,100000;02.07.2018
2018-07-04T11:51:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;QVX2DK;0,07;5547,000000;-381,000000;-1,540000;0,068700;0,068700;5972,260000;-2166,700000;3805,560000;04.07.2018
2018-07-04T11:52:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;eb1562d6-8eb1-4545-bba6-b6b013a81523;0,07;5615,150000;386,020000;0,000000;-0,068700;0,000000;5977,280000;-2166,700000;3810,580000;04.07.2018
2018-07-04T18:25:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;62QB9V;1;5676,000000;-5686,800000;-22,930000;1,001900;1,001900;5977,280000;-2189,630000;3787,650000;04.07.2018
2018-07-04T18:31:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;e257d977-addc-4c65-a3fd-8e02d040a77b;1;5739,550000;5750,300000;0,000000;-1,001900;0,000000;6040,780000;-2189,630000;3851,150000;04.07.2018
2018-07-07T23:25:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;FCUGTT;0,29;5686,000000;-1633,000000;-6,580000;0,287200;0,287200;6040,780000;-2196,210000;3844,570000;07.07.2018
2018-07-07T23:26:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;5d582eaa-8a80-4901-835e-2080bb136caa;0,29;5757,050000;1653,320000;0,000000;-0,287200;0,000000;6061,100000;-2196,210000;3864,890000;07.07.2018
2018-07-08T12:12:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;Q95VKT;4,36;5677,000000;-24779,000000;-99,920000;4,364800;4,364800;6061,100000;-2296,130000;3764,970000;08.07.2018
2018-07-08T15:27:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;4a535742-1b5f-434a-b608-9308853980ce;4,36;5740,020000;25054,040000;0,000000;-4,364800;0,000000;6336,140000;-2296,130000;4040,010000;08.07.2018
2018-07-11T14:14:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;NX546E;0,3;5385,000000;-1603,000000;-6,460000;0,297600;0,297600;6336,140000;-2302,590000;4033,550000;11.07.2018
2018-07-11T14:22:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;6fdda7ec-a9da-4483-9c44-3f71dfda5fd1;0,3;5440,010000;1618,950000;0,000000;-0,297600;0,000000;6352,090000;-2302,590000;4049,500000;11.07.2018
2018-07-11T16:39:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;ZPW8NP;4,62;5360,000000;-24778,000000;-99,910000;4,622700;4,622700;6352,090000;-2402,500000;3949,590000;11.07.2018
2018-07-11T16:41:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;59b88add-b37f-4f6b-b9a5-30b885ef7a9e;4,62;5429,470000;25098,920000;0,000000;-4,622700;0,000000;6673,010000;-2402,500000;4270,510000;11.07.2018
2018-07-12T08:34:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;AHFC8Q;2,67;5232,000000;-13962,000000;-56,300000;2,668500;2,668500;6673,010000;-2458,800000;4214,210000;12.07.2018
2018-07-12T08:45:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;fde76e40-1c1d-45c5-bd87-d64cae955b09;2,67;5299,050000;14140,410000;0,000000;-2,668500;0,000000;6851,420000;-2458,800000;4392,620000;12.07.2018
2018-07-15T09:28:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;N49U5F;0,4;5368,000000;-2130,000000;-8,590000;0,396800;0,396800;6851,420000;-2467,390000;4384,030000;15.07.2018
2018-07-15T09:34:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;62f4c1dc-c3f3-4066-bb5c-f8a52173d604;0,4;5424,480000;2152,430000;0,000000;-0,396800;0,000000;6873,850000;-2467,390000;4406,460000;15.07.2018
2018-07-15T15:10:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;87CPSC;0,49;5393,000000;-2622,000000;-10,570000;0,486100;0,486100;6873,850000;-2477,960000;4395,890000;15.07.2018
2018-07-15T15:22:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;3bd7852c-2b7c-4242-a3b1-6ed550cb7d65;0,49;5450,040000;2649,160000;0,000000;-0,486100;0,000000;6901,010000;-2477,960000;4423,050000;15.07.2018
2018-07-15T19:02:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;4PBVQ3;4,6;5386,000000;-24791,000000;-99,960000;4,602900;4,602900;6901,010000;-2577,920000;4323,090000;15.07.2018
2018-07-15T19:48:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;edca58aa-ccfc-4b74-938e-414081129cf7;4,6;5449,010000;25081,140000;0,000000;-4,602900;0,000000;7191,150000;-2577,920000;4613,230000;15.07.2018
2018-07-16T18:23:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;VY7WXY;4,4;5629,000000;-24793,000000;-99,970000;4,404500;4,404500;7191,150000;-2677,890000;4513,260000;16.07.2018
2018-07-16T18:26:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;96a72ba8-6868-4a69-8390-915a8a35bb9f;4,4;5696,420000;25089,770000;0,000000;-4,404500;0,000000;7487,920000;-2677,890000;4810,030000;16.07.2018
2018-07-16T18:49:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;57KT7X;3,12;5622,000000;-17568,000000;-70,840000;3,124800;3,124800;7487,920000;-2748,730000;4739,190000;16.07.2018
2018-07-16T19:59:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;ba2f3cc2-6308-41cb-991c-5a967df11d82;3,12;5693,460000;17790,920000;0,000000;-3,124800;0,000000;7710,840000;-2748,730000;4962,110000;16.07.2018
2018-07-17T17:39:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;KFF7X7;0,16;5896,000000;-923,900000;-3,730000;0,156700;0,156700;7710,840000;-2752,460000;4958,380000;17.07.2018
2018-07-17T17:39:00,000+0000;gdax;BTC-EUR;BtcdeGdaxProvideLiquidity;sell;16e415c1-e0a5-46f0-be8c-b1db36be1608;0,16;5965,440000;935,000000;0,000000;-0,156700;0,000000;7721,940000;-2752,460000;4969,480000;17.07.2018
2018-07-17T17:52:00,000+0000;btcde;btceur;BtcdeGdaxProvideLiquidity;buy;6VCU68;0,1;6063,000000;-597,000000;-2,410000;0,098400;0,098400;7721,940000;-2754,870000;4967,070000;17.07.2018
